Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2019.12.14_10.16.30,-8.388186,51.935604,0,B,12,5G,-99,-15,6.0,12,-90,7,1,D,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-15.0
2019.12.14_10.16.31,-8.38847,51.935739,1,B,12,5G,-99,-15,6.0,12,-90,7,1,D,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-15.0
2019.12.14_10.16.31,-8.38847,51.935739,1,B,12,5G,-99,-15,6.0,12,-90,0,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-100.0,-15.0
2019.12.14_10.16.32,-8.38847,51.935739,1,B,12,5G,-102,-14,6.0,12,-90,0,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-15.0
2019.12.14_10.16.33,-8.38847,51.935739,1,B,12,5G,-102,-14,6.0,12,-90,9,12,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-15.0
2019.12.14_10.16.34,-8.38847,51.935739,1,B,12,5G,-102,-14,4.0,12,-90,0,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-14.0
2019.12.14_10.16.36,-8.38847,51.935739,1,B,12,5G,-102,-14,4.0,12,-90,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-14.0
2019.12.14_10.16.37,-8.38847,51.935739,1,B,12,5G,-102,-13,4.0,12,-90,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-15.0
2019.12.14_10.16.38,-8.38847,51.935739,1,B,12,5G,-102,-13,4.0,12,-90,0,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-15.0
2019.12.14_10.16.39,-8.38847,51.935739,1,B,12,5G,-102,-13,4.0,15,-92,0,0,D,82.0,79.0,86.0,3.0,0.0,C,A81B,9CBA,11016972,-98.0,-15.0
2019.12.14_10.16.39,-8.38847,51.935739,1,B,12,5G,-103,-15,-6.0,10,-90,149,15,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-13.0
2019.12.14_10.16.40,-8.38847,51.935739,1,B,12,5G,-103,-15,-6.0,9,-,14316,227,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-13.0
2019.12.14_10.16.41,-8.38847,51.935739,1,B,12,5G,-102,-12,6.0,9,-,10620,99,D,-,-,-,-,-,C,A81B,9CBA,11016972,-97.0,-13.0
2019.12.14_10.16.42,-8.38847,51.935739,1,B,12,5G,-102,-12,6.0,9,-,16739,119,D,-,-,-,-,-,C,A81B,9CBA,11016972,-97.0,-13.0
2019.12.14_10.16.44,-8.38847,51.935739,1,B,12,5G,-101,-11,7.0,14,-,18803,167,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-13.0
2019.12.14_10.16.45,-8.38847,51.935739,1,B,12,5G,-101,-11,7.0,14,-,8023,107,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99.0,-13.0
2019.12.14_10.16.46,-8.38847,51.935739,1,B,12,5G,-100,-10,5.0,14,-,7399,92,D,-,-,-,-,-,C,A81B,9CBA,11016972,-97.0,-16.0
2019.12.14_10.16.47,-8.38847,51.935739,1,B,12,5G,-100,-10,5.0,13,-86,10045,80,D,-,-,-,-,-,C,A81B,9CBA,11016972,-97.0,-16.0
2019.12.14_10.16.48,-8.38847,51.935739,1,B,12,5G,-101,-11,2.0,12,-89,12042,94,D,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-17.0
2019.12.14_10.16.49,-8.38847,51.935739,1,B,12,5G,-101,-11,2.0,12,-91,12772,100,D,-,-,-,-,-,C,A81B,9CBA,11016972,-98.0,-17.0
2019.12.14_10.16.50,-8.38847,51.935739,1,B,12,5G,-99,-14,7.0,12,-91,16067,135,D,-,-,-,-,-,C,A81B,9CBA,11016972,-104.0,-13.0
2019.12.14_10.16.51,-8.38847,51.935739,1,B,12,5G,-99,-14,7.0,12,-91,5862,57,D,-,-,-,-,-,C,A81B,9CBA,11016972,-104.0,-13.0
2019.12.14_10.16.53,-8.38847,51.935739,1,B,12,5G,-98,-12,12.0,8,-88,2,3,D,-,-,-,-,-,C,A81B,9CBA,11016972,-97.0,-16.0
